"","SCC","EI.Sector","Short.Name","SCC.Level.One","SCC.Level.Two","SCC.Level.Three","SCC.Level.Four"
"1","10100101","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Anthracite Coal /Pulverized Coal","External Combustion Boilers","Electric Generation","Anthracite Coal","Pulverized Coal"
"2","10100102","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Anthracite Coal /Traveling Grate (Overfeed) Stoker","External Combustion Boilers","Electric Generation","Anthracite Coal","Traveling Grate (Overfeed) Stoker"
"3","10100201","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Bituminous Coal /Pulverized Coal: Wet Bottom","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Wet Bottom (Bituminous Coal)"
"4","10100202","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Bituminous Coal /Pulverized Coal: Dry Bottom","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom (Bituminous Coal)"
"5","10100203","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Bituminous Coal /Cyclone Furnace","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Cyclone Furnace (Bituminous Coal)"
"6","10100204","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Bituminous Coal /Spreader Stoker","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Spreader Stoker (Bituminous Coal)"
"7","10100205","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Bituminous Coal /Traveling Grate (Overfeed) Stoker","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Traveling Grate (Overfeed) Stoker (Bituminous Coal)"
"8","10100211","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Bituminous Coal /Wet Bottom (Tangential)","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Wet Bottom (Tangential) (Bituminous Coal)"
"9","10100212","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Bituminous Coal /Pulverized Coal: Dry Bottom (Tangential)","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom (Tangential) (Bituminous Coal)"
"10","10100215","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Bituminous Coal /Cell Burner","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Cell Burner (Bituminous Coal)"
"11","10100217","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Bubbling Bed","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Atmospheric Fluidized Bed Combustion: Bubbling Bed (Bituminous Coal)"
"12","10100218","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Circulating Bed","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Atmospheric Fluidized Bed Combustion: Circulating Bed (Bitum. Coal)"
"13","10100221","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Subbituminous Coal /Pulverized Coal: Wet Bottom","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Wet Bottom (Subbituminous Coal)"
"14","10100222","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Subbituminous Coal /Pulverized Coal: Dry Bottom","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom (Subbituminous Coal)"
"15","10100223","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Subbituminous Coal /Cyclone Furnace","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Cyclone Furnace (Subbituminous Coal)"
"16","10100224","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Subbituminous Coal /Spreader Stoker","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Spreader Stoker (Subbituminous Coal)"
"17","10100225","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Subbituminous Coal /Traveling Grate (Overfeed) Stoker","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Traveling Grate (Overfeed) Stoker (Subbituminous Coal)"
"18","10100226","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Subbituminous Coal /Pulverized Coal: Dry Bottom Tangential","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom Tangential (Subbituminous Coal)"
"19","10100235","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Subbituminous Coal /Cell Burner","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Cell Burner (Subbituminous Coal)"
"20","10100237","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Subbituminous Coal /Atmospheric Fluidized Bed Combustion: Bubbling Bed","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Atmospheric Fluidized Bed Combustion: Bubbling Bed (Subbitum Coal)"
"21","10100238","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Subbituminous Coal /Atmospheric Fluidized Bed Combustion - Circulating Bed","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Atmospheric Fluidized Bed Combustion - Circulating Bed (Subbitum Coal)"
"22","10100300","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Lignite /Pulverized Coal: Wet Bottom","External Combustion Boilers","Electric Generation","Lignite","Pulverized Coal: Wet Bottom"
"23","10100301","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Lignite /Pulverized Coal: Dry Bottom, Wall Fired","External Combustion Boilers","Electric Generation","Lignite","Pulverized Coal: Dry Bottom, Wall Fired"
"24","10100302","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Lignite /Pulverized Coal: Dry Bottom, Tangential Fired","External Combustion Boilers","Electric Generation","Lignite","Pulverized Coal: Dry Bottom, Tangential Fired"
"25","10100303","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Lignite /Cyclone Furnace","External Combustion Boilers","Electric Generation","Lignite","Cyclone Furnace"
"26","10100304","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Lignite /Traveling Grate (Overfeed) Stoker","External Combustion Boilers","Electric Generation","Lignite","Traveling Grate (Overfeed) Stoker"
"27","10100306","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Lignite /Spreader Stoker","External Combustion Boilers","Electric Generation","Lignite","Spreader Stoker"
"28","10100316","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Lignite /Atmospheric Fluidized Bed ** (See 101003-17 & -18)","External Combustion Boilers","Electric Generation","Lignite","Atmospheric Fluidized Bed ** (See 101003-17 & -18)"
"29","10100317","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Lignite /Atmospheric Fluidized Bed Combustion - Bubbling Bed","External Combustion Boilers","Electric Generation","Lignite","Atmospheric Fluidized Bed Combustion - Bubbling Bed"
"30","10100318","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Lignite /Atmospheric Fluidized Bed Combustion - Circulating Bed","External Combustion Boilers","Electric Generation","Lignite","Atmospheric Fluidized Bed Combustion - Circulating Bed"
"31","10100401","Fuel Comb - Electric Generation - Oil","Ext Comb /Electric Gen /Residual Oil /Grade 6 Oil: Normal Firing","External Combustion Boilers","Electric Generation","Residual Oil","Grade 6 Oil: Normal Firing"
"32","10100404","Fuel Comb - Electric Generation - Oil","Ext Comb /Electric Gen /Residual Oil /Grade 6 Oil: Tangential Firing","External Combustion Boilers","Electric Generation","Residual Oil","Grade 6 Oil: Tangential Firing"
"33","10100405","Fuel Comb - Electric Generation - Oil","Ext Comb /Electric Gen /Residual Oil /Grade 5 Oil: Normal Firing","External Combustion Boilers","Electric Generation","Residual Oil","Grade 5 Oil: Normal Firing"
"34","10100406","Fuel Comb - Electric Generation - Oil","Ext Comb /Electric Gen /Residual Oil /Grade 5 Oil: Tangential Firing","External Combustion Boilers","Electric Generation","Residual Oil","Grade 5 Oil: Tangential Firing"
"35","10100501","Fuel Comb - Electric Generation - Oil","Ext Comb /Electric Gen /Distillate Oil /Grades 1 and 2 Oil","External Combustion Boilers","Electric Generation","Distillate Oil","Grades 1 and 2 Oil"
"36","10100504","Fuel Comb - Electric Generation - Oil","Ext Comb /Electric Gen /Distillate Oil /Grade 4 Oil: Normal Firing","External Combustion Boilers","Electric Generation","Distillate Oil","Grade 4 Oil: Normal Firing"
"37","10100505","Fuel Comb - Electric Generation - Oil","Ext Comb /Electric Gen /Distillate Oil /Grade 4 Oil: Tangential Firing","External Combustion Boilers","Electric Generation","Distillate Oil","Grade 4 Oil: Tangential Firing"
"38","10100601","Fuel Comb - Electric Generation - Natural Gas","Ext Comb /Electric Gen /Natural Gas /Boilers : 100 Million Btu/hr except Tangential","External Combustion Boilers","Electric Generation","Natural Gas","Boilers : 100 Million Btu/hr except Tangential"
"39","10100602","Fuel Comb - Electric Generation - Natural Gas","Ext Comb /Electric Gen /Natural Gas /Boilers < 100 Million Btu/hr except Tangential","External Combustion Boilers","Electric Generation","Natural Gas","Boilers < 100 Million Btu/hr except Tangential"
"40","10100604","Fuel Comb - Electric Generation - Natural Gas","Ext Comb /Electric Gen /Natural Gas /Tangentially Fired Units","External Combustion Boilers","Electric Generation","Natural Gas","Tangentially Fired Units"
"41","10100701","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Process Gas /Boilers : 100 Million Btu/hr","External Combustion Boilers","Electric Generation","Process Gas","Boilers : 100 Million Btu/hr"
"42","10100702","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Process Gas /Boilers < 100 Million Btu/hr","External Combustion Boilers","Electric Generation","Process Gas","Boilers < 100 Million Btu/hr"
"43","10100703","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Process Gas /Petroleum Refinery Gas","External Combustion Boilers","Electric Generation","Process Gas","Petroleum Refinery Gas"
"44","10100704","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Process Gas /Blast Furnace Gas","External Combustion Boilers","Electric Generation","Process Gas","Blast Furnace Gas"
"45","10100707","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Process Gas /Coke Oven Gas","External Combustion Boilers","Electric Generation","Process Gas","Coke Oven Gas"
"46","10100711","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Process Gas /Landfill Gas","External Combustion Boilers","Electric Generation","Process Gas","Landfill Gas"
"47","10100712","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Process Gas /Digester Gas","External Combustion Boilers","Electric Generation","Process Gas","Digester Gas"
"48","10100801","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Petroleum Coke /All Boiler Sizes","External Combustion Boilers","Electric Generation","Petroleum Coke","All Boiler Sizes"
"49","10100818","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Petroleum Coke /Circulating Fluidized Bed Combustion","External Combustion Boilers","Electric Generation","Petroleum Coke","Circulating Fluidized Bed Combustion"
"50","10100901","Fuel Comb - Electric Generation - Biomass","Ext Comb /Electric Gen /Bark-fired Boiler","External Combustion Boilers","Electric Generation","Wood/Bark Waste","Bark-fired Boiler"
"51","10100902","Fuel Comb - Electric Generation - Biomass","Ext Comb /Electric Gen /Wood/Bark Fired Boiler","External Combustion Boilers","Electric Generation","Wood/Bark Waste","Wood/Bark Fired Boiler"
"52","10100903","Fuel Comb - Electric Generation - Biomass","Ext Comb /Electric Gen /Wood-fired Boiler - Wet Wood (:=20% moisture)","External Combustion Boilers","Electric Generation","Wood/Bark Waste","Wood-fired Boiler - Wet Wood (:=20% moisture)"
"53","10100908","Fuel Comb - Electric Generation - Biomass","Ext Comb /Electric Gen /Wood-fired Boiler - Dry Wood (<20% moisture)","External Combustion Boilers","Electric Generation","Wood/Bark Waste","Wood-fired Boiler - Dry Wood (<20% moisture)"
"54","10100910","Fuel Comb - Electric Generation - Biomass","Ext Comb /Electric Gen /Wood/Bark Waste /Fuel cell/Dutch oven boilers **","External Combustion Boilers","Electric Generation","Wood/Bark Waste","Fuel cell/Dutch oven boilers **"
"55","10100911","Fuel Comb - Electric Generation - Biomass","Ext Comb /Electric Gen /Wood/Bark Waste /Stoker boilers **","External Combustion Boilers","Electric Generation","Wood/Bark Waste","Stoker boilers **"
"56","10100912","Fuel Comb - Electric Generation - Biomass","Ext Comb /Electric Gen /Wood/Bark Waste /Fluidized bed combustion boilers","External Combustion Boilers","Electric Generation","Wood/Bark Waste","Fluidized bed combustion boilers"
"57","10101001","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /LPG /Butane","External Combustion Boilers","Electric Generation","Liquified Petroleum Gas (LPG)","Butane"
"58","10101002","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /LPG /Propane","External Combustion Boilers","Electric Generation","Liquified Petroleum Gas (LPG)","Propane"
"59","10101003","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /LPG /Butane/Propane Mixture: Specify Percent Butane in Comments","External Combustion Boilers","Electric Generation","Liquified Petroleum Gas (LPG)","Butane/Propane Mixture: Specify Percent Butane in Comments"
"60","10101101","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Bagasse /All Boiler Sizes","External Combustion Boilers","Electric Generation","Bagasse","All Boiler Sizes"
"61","10101201","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Solid Waste /Specify Waste Material in Comments","External Combustion Boilers","Electric Generation","Solid Waste","Specify Waste Material in Comments"
"62","10101202","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Solid Waste /Refuse Derived Fuel","External Combustion Boilers","Electric Generation","Solid Waste","Refuse Derived Fuel"
"63","10101204","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Solid Waste /Tire Derived Fuel : Shredded","External Combustion Boilers","Electric Generation","Solid Waste","Tire Derived Fuel : Shredded"
"64","10101205","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Solid Waste /Sludge Waste","External Combustion Boilers","Electric Generation","Solid Waste","Sludge Waste"
"65","10101206","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Solid Waste /Agric Byproducts (rice or peanut hulls, shells, cow manure, etc","External Combustion Boilers","Electric Generation","Solid Waste","Agricultural Byproducts (rice or peanut hulls, shells, cow manure, etc"
"66","10101207","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Solid Waste /Other Biomass Solids","External Combustion Boilers","Electric Generation","Solid Waste","Other Biomass Solids"
"67","10101208","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Solid Waste /Paper Pellets","External Combustion Boilers","Electric Generation","Solid Waste","Paper Pellets"
"68","10101301","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Liquid Waste /Specify Waste Material in Comments","External Combustion Boilers","Electric Generation","Liquid Waste","Specify Waste Material in Comments"
"69","10101302","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Liquid Waste /Waste Oil","External Combustion Boilers","Electric Generation","Liquid Waste","Waste Oil"
"70","10101304","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Liquid Waste /Black Liquor","External Combustion Boilers","Electric Generation","Liquid Waste","Black Liquor"
"71","10101305","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Liquid Waste /Red Liquor","External Combustion Boilers","Electric Generation","Liquid Waste","Red Liquor"
"72","10101306","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Liquid Waste /Spent Sulfite Liquor","External Combustion Boilers","Electric Generation","Liquid Waste","Spent Sulfite Liquor"
"73","10101307","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Liquid Waste /Tall Oil","External Combustion Boilers","Electric Generation","Liquid Waste","Tall Oil"
"74","10101308","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Liquid Waste /Wood/Wood Waste Liquid","External Combustion Boilers","Electric Generation","Liquid Waste","Wood/Wood Waste Liquid"
"75","10101501","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Geothermal Power Plant: Off-gas Ejectors","External Combustion Boilers","Electric Generation","Geothermal Power Plants","Geothermal Power Plant: Off-gas Ejectors"
"76","10101502","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Geothermal Power Plant: Cooling Tower Exhaust","External Combustion Boilers","Electric Generation","Geothermal Power Plants","Geothermal Power Plant: Cooling Tower Exhaust"
"77","10101601","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Methanol /All","External Combustion Boilers","Electric Generation","Methanol","All"
"78","10101801","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Hydrogen /All","External Combustion Boilers","Electric Generation","Hydrogen","All"
"79","10101901","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Coal-based Synfuel /All","External Combustion Boilers","Electric Generation","Coal-based Synfuel","All"
"80","10102001","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Waste Coal /All","External Combustion Boilers","Electric Generation","Waste Coal","All"
"81","10102018","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Waste Coal /Circulating Fluidized Bed","External Combustion Boilers","Electric Generation","Waste Coal","Circulating Fluidized Bed Combustion"
"82","10102101","Fuel Comb - Electric Generation - Oil","Ext Comb /Electric Gen /Other Oil /All","External Combustion Boilers","Electric Generation","Other Oil","All"
"83","10200101","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Anthracite Coal /Pulverized Coal","External Combustion Boilers","Industrial","Anthracite Coal","Pulverized Coal"
"84","10200104","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Anthracite Coal /Traveling Grate (Overfeed) Stoker","External Combustion Boilers","Industrial","Anthracite Coal","Traveling Grate (Overfeed) Stoker"
"85","10200107","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Anthracite Coal /Hand-fired","External Combustion Boilers","Industrial","Anthracite Coal","Hand-fired"
"86","10200117","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Anthracite Coal /Fluidized Bed Boiler Burning Anthracite-Culm Fuel","External Combustion Boilers","Industrial","Anthracite Coal","Fluidized Bed Boiler Burning Anthracite-Culm Fuel"
"87","10200201","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Bitum/Subbit Coal /Pulverized Coal: Wet Bottom","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Pulverized Coal: Wet Bottom"
"88","10200202","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Bitum/Subbit Coal /Pulverized Coal: Dry Bottom","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom"
"89","10200203","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Bitum/Subbit Coal /Cyclone Furnace","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Cyclone Furnace"
"90","10200204","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Bitum/Subbit Coal /Spreader Stoker","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Spreader Stoker"
"91","10200205","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Bitum/Subbit Coal /Overfeed Stoker","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Overfeed Stoker"
"92","10200206","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Bitum/Subbit Coal /Underfeed Stoker","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Underfeed Stoker"
"93","10200210","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Bitum/Subbit Coal /Overfeed Stoker **","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Overfeed Stoker **"
"94","10200212","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Bitum/Subbit Coal /Pulverized Coal: Dry Bottom (Tangential)","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom (Tangential)"
"95","10200213","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Bitum/Subbit Coal /Wet Slurry","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Wet Slurry"
"96","10200217","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Bubbling Bed","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Atmospheric Fluidized Bed Combustion: Bubbling Bed (Bituminous Coal)"
"97","10200218","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Circulating Bed","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Atmospheric Fluidized Bed Combustion: Circulating Bed (Bitum. Coal)"
"98","10200219","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Bituminous Coal /Cogeneration","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Cogeneration (Bituminous Coal)"
"99","10200221","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Subbituminous Coal /Pulverized Coal: Wet Bottom","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Pulverized Coal: Wet Bottom (Subbituminous Coal)"
"100","10200222","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Subbituminous Coal /Pulverized Coal: Dry Bottom","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom (Subbituminous Coal)"
"101","10200223","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Subbituminous Coal /Cyclone Furnace","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Cyclone Furnace (Subbituminous Coal)"
"102","10200224","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Subbituminous Coal /Spreader Stoker","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Spreader Stoker (Subbituminous Coal)"
"103","10200225","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Subbituminous Coal /Traveling Grate (Overfeed) Stoker","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Traveling Grate (Overfeed) Stoker (Subbituminous Coal)"
"104","10200226","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Subbituminous Coal /Pulverized Coal: Dry Bottom Tangential","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom Tangential (Subbituminous Coal)"
"105","10200229","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Subbituminous Coal /Cogeneration","External Combustion Boilers","Industrial","Bituminous/Subbituminous Coal","Cogeneration (Subbituminous Coal)"
"106","10200300","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Lignite /Pulverized Coal: Wet Bottom","External Combustion Boilers","Industrial","Lignite","Pulverized Coal: Wet Bottom"
"107","10200301","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Lignite /Pulverized Coal: Dry Bottom, Wall Fired","External Combustion Boilers","Industrial","Lignite","Pulverized Coal: Dry Bottom, Wall Fired"
"108","10200302","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Lignite /Pulverized Coal: Dry Bottom, Tangential Fired","External Combustion Boilers","Industrial","Lignite","Pulverized Coal: Dry Bottom, Tangential Fired"
"109","10200303","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Lignite /Cyclone Furnace","External Combustion Boilers","Industrial","Lignite","Cyclone Furnace"
"110","10200304","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Lignite /Traveling Grate (Overfeed) Stoker","External Combustion Boilers","Industrial","Lignite","Traveling Grate (Overfeed) Stoker"
"111","10200306","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Lignite /Spreader Stoker","External Combustion Boilers","Industrial","Lignite","Spreader Stoker"
"112","10200307","Fuel Comb - Industrial Boilers, ICEs - Coal","Ext Comb /Industrial /Lignite /Cogeneration","External Combustion Boilers","Industrial","Lignite","Cogeneration"
"113","10200401","Fuel Comb - Industrial Boilers, ICEs - Oil","Ext Comb /Industrial /Residual Oil /Grade 6 Oil","External Combustion Boilers","Industrial","Residual Oil","Grade 6 Oil"
"114","10200402","Fuel Comb - Industrial Boilers, ICEs - Oil","Ext Comb /Industrial /Residual Oil /10-100 Million Btu/hr **","External Combustion Boilers","Industrial","Residual Oil","10-100 Million Btu/hr **"
"115","10200403","Fuel Comb - Industrial Boilers, ICEs - Oil","Ext Comb /Industrial /Residual Oil /< 10 Million Btu/hr **","External Combustion Boilers","Industrial","Residual Oil","< 10 Million Btu/hr **"
"116","10200404","Fuel Comb - Industrial Boilers, ICEs - Oil","Ext Comb /Industrial /Residual Oil /Grade 5 Oil","External Combustion Boilers","Industrial","Residual Oil","Grade 5 Oil"
"117","10200405","Fuel Comb - Industrial Boilers, ICEs - Oil","Ext Comb /Industrial /Residual Oil /Cogeneration","External Combustion Boilers","Industrial","Residual Oil","Cogeneration"
"118","10200501","Fuel Comb - Industrial Boilers, ICEs - Oil","Ext Comb /Industrial /Distillate Oil /Grades 1 and 2 Oil","External Combustion Boilers","Industrial","Distillate Oil","Grades 1 and 2 Oil"
"119","10200502","Fuel Comb - Industrial Boilers, ICEs - Oil","Ext Comb /Industrial /Distillate Oil /10-100 Million Btu/hr **","External Combustion Boilers","Industrial","Distillate Oil","10-100 Million Btu/hr **"
"120","10200503","Fuel Comb - Industrial Boilers, ICEs - Oil","Ext Comb /Industrial /Distillate Oil /< 10 Million Btu/hr **","External Combustion Boilers","Industrial","Distillate Oil","< 10 Million Btu/hr **"
"121","10200504","Fuel Comb - Industrial Boilers, ICEs - Oil","Ext Comb /Industrial /Distillate Oil /Grade 4 Oil","External Combustion Boilers","Industrial","Distillate Oil","Grade 4 Oil"
"122","10200505","Fuel Comb - Industrial Boilers, ICEs - Oil","Ext Comb /Industrial /Distillate Oil /Cogeneration","External Combustion Boilers","Industrial","Distillate Oil","Cogeneration"
"123","10200601","Fuel Comb - Industrial Boilers, ICEs - Natural Gas","Ext Comb /Industrial /Natural Gas /> 100 Million Btu/hr","External Combustion Boilers","Industrial","Natural Gas","> 100 Million Btu/hr"
"124","10200602","Fuel Comb - Industrial Boilers, ICEs - Natural Gas","Ext Comb /Industrial /Natural Gas /10-100 Million Btu/hr","External Combustion Boilers","Industrial","Natural Gas","10-100 Million Btu/hr"
"125","10200603","Fuel Comb - Industrial Boilers, ICEs - Natural Gas","Ext Comb /Industrial /Natural Gas /< 10 Million Btu/hr","External Combustion Boilers","Industrial","Natural Gas","< 10 Million Btu/hr"
"126","10200604","Fuel Comb - Industrial Boilers, ICEs - Natural Gas","Ext Comb /Industrial /Natural Gas /Cogeneration","External Combustion Boilers","Industrial","Natural Gas","Cogeneration"
"127","10200701","Fuel Comb - Industrial Boilers, ICEs - Other","Ext Comb /Industrial /Process Gas /Petroleum Refinery Gas","External Combustion Boilers","Industrial","Process Gas","Petroleum Refinery Gas"
"128","10200704","Fuel Comb - Industrial Boilers, ICEs - Other","Ext Comb /Industrial /Process Gas /Blast Furnace Gas","External Combustion Boilers","Industrial","Process Gas","Blast Furnace Gas"
